HEA_with_LS_Best
id,x,y,cost
176,1774,1020,70
137,1902,1390,293
23,2005,1631,819
89,1922,1845,754
183,1838,1943,43
143,1417,1961,424
0,1355,1796,496
117,1199,1948,611
93,939,1962,860
140,864,1933,945
108,389,1979,686
69,359,1840,1033
18,229,1847,182
22,47,1340,88
146,60,1148,839
159,331,1322,704
193,501,1290,5
41,550,1241,379
139,772,1422,150
68,922,1647,785
46,1065,1451,526
115,893,1198,166
116,883,826,345
65,928,782,163
43,724,765,581
42,583,895,158
181,314,954,736
34,43,770,191
160,307,671,228
48,227,534,986
54,165,413,557
177,263,208,527
10,249,47,774
190,373,80,931
184,518,452,296
35,729,356,976
84,656,226,931
4,661,87,903
112,816,83,607
123,1199,322,119
127,1311,113,736
70,1639,4,622
135,1651,164,197
154,1878,234,262
180,1913,314,175
53,2097,299,81
121,2218,431,1094
100,2343,360,965
26,2371,371,834
97,2465,426,310
152,2549,554,351
1,2524,387,414
101,2504,302,297
86,2398,214,497
75,2614,132,360
2,2769,430,500
120,3016,260,34
44,3134,177,311
25,3209,224,756
16,3562,3,82
171,3726,56,237
175,3828,57,178
113,3819,191,283
56,3796,244,1046
31,3697,324,394
157,3735,514,1106
196,3688,759,727
81,3901,849,606
90,3991,1300,246

ILS (20 runs, time-limited)
id,x,y,cost
190,373,80,931
4,661,87,903
112,816,83,607
84,656,226,931
184,518,452,296
131,949,576,1018
149,993,581,849
65,928,782,163
116,883,826,345
43,724,765,581
42,583,895,158
181,314,954,736
159,331,1322,704
193,501,1290,5
41,550,1241,379
139,772,1422,150
68,922,1647,785
46,1065,1451,526
115,893,1198,166
59,1172,933,125
118,1229,1036,824
51,1479,1027,617
151,1525,726,291
133,1675,616,491
162,1416,553,555
123,1199,322,119
127,1311,113,736
70,1639,4,622
135,1651,164,197
154,1878,234,262
180,1913,314,175
53,2097,299,81
100,2343,360,965
26,2371,371,834
86,2398,214,497
75,2614,132,360
101,2504,302,297
1,2524,387,414
97,2465,426,310
152,2549,554,351
2,2769,430,500
120,3016,260,34
44,3134,177,311
25,3209,224,756
16,3562,3,82
171,3726,56,237
175,3828,57,178
113,3819,191,283
56,3796,244,1046
31,3697,324,394
78,3399,405,20
145,3400,530,145
196,3688,759,727
81,3901,849,606
90,3991,1300,246
165,3576,1287,286
119,3587,1123,1064
40,3585,1109,277
185,3469,1080,64
179,3369,697,889
92,3174,606,390
129,3023,557,657
57,3134,746,555
55,3144,924,585
52,3166,973,557
106,3171,1147,264
178,3134,1169,420
49,2943,1341,104
14,3088,1482,267
144,2898,1609,168
102,2866,1409,939
62,2678,1417,182
9,2662,1405,776
148,2498,1204,450
124,2337,850,962
94,2237,764,323
63,1972,616,129
79,1852,682,561
80,1823,868,445
176,1774,1020,70
137,1902,1390,293
23,2005,1631,819
186,2121,1641,859
89,1922,1845,754
183,1838,1943,43
143,1417,1961,424
0,1355,1796,496
117,1199,1948,611
93,939,1962,860
140,864,1933,945
108,389,1979,686
18,229,1847,182
22,47,1340,88
146,60,1148,839
34,43,770,191
160,307,671,228
48,227,534,986
54,165,413,557
177,263,208,527
10,249,47,774
190,373,80,931

